iter	Passed	Remaining
648	1630	882
649	1632	879
650	1633	875
651	1635	872
652	1636	869
653	1638	866
654	1640	863
655	1642	861
656	1643	858
657	1645	855
658	1647	852
659	1649	849
660	1651	846
661	1652	843
662	1654	840
663	1656	838
664	1658	835
665	1660	832
666	1661	829
667	1663	826
668	1665	823
669	1667	821
670	1669	818
671	1670	815
672	1672	812
673	1674	809
674	1675	806
675	1677	804
676	1679	801
677	1680	798
678	1682	795
679	1684	792
680	1686	789
681	1687	786
682	1689	784
683	1690	781
684	1692	778
685	1693	775
686	1695	772
687	1697	769
688	1698	766
689	1701	764
690	1702	761
691	1705	758
692	1707	756
693	1708	753
694	1710	750
695	1711	747
696	1713	744
697	1715	742
698	1716	739
699	1718	736
700	1720	733
701	1721	730
702	1723	728
703	1724	725
704	1726	722
705	1727	719
706	1729	716
707	1731	714
708	1732	711
709	1734	708
710	1735	705
711	1737	702
712	1739	700
713	1741	697
714	1742	694
715	1744	691
716	1745	689
717	1747	686
718	1749	683
719	1750	680
720	1752	678
721	1754	675
722	1755	672
723	1757	669
724	1758	667
725	1760	664
726	1762	661
727	1763	658
728	1765	656
729	1767	653
730	1768	650
731	1770	648
732	1771	645
733	1773	642
734	1774	639
735	1776	637
736	1778	634
737	1779	631
738	1781	629
739	1782	626
740	1784	623
741	1786	621
742	1787	618
743	1789	615
744	1790	612
745	1792	610
746	1794	607
747	1795	604
748	1797	602
749	1798	599
750	1800	596
751	1802	594
752	1803	591
753	1805	589
754	1806	586
755	1808	583
756	1809	581
757	1811	578
758	1813	575
759	1814	573
760	1816	570
761	1817	567
762	1819	565
763	1821	562
764	1822	559
765	1824	557
766	1825	554
767	1827	552
768	1830	549
769	1831	547
770	1833	544
771	1835	542
772	1837	539
773	1839	537
774	1841	534
775	1842	531
776	1844	529
777	1846	526
778	1848	524
779	1849	521
780	1851	519
781	1852	516
782	1854	513
783	1855	511
784	1857	508
785	1859	506
786	1860	503
787	1862	500
788	1863	498
789	1865	495
790	1866	493
791	1868	490
792	1870	488
793	1871	485
794	1873	483
795	1874	480
796	1876	477
797	1877	475
798	1879	472
799	1880	470
800	1882	467
801	1884	465
802	1885	462
803	1887	460
804	1888	457
805	1890	454
806	1891	452
807	1893	449
808	1894	447
809	1896	444
810	1897	442
811	1899	439
812	1900	437
813	1902	434
814	1903	432
815	1905	429
816	1906	427
817	1908	424
818	1909	422
819	1912	419
820	1914	417
821	1916	414
822	1917	412
823	1919	409
824	1921	407
825	1922	404
826	1924	402
827	1925	400
828	1927	397
829	1928	395
830	1930	392
831	1931	390
832	1933	387
833	1934	385
834	1936	382
835	1938	380
836	1940	377
837	1944	375
838	1946	373
839	1948	371
840	1950	368
841	1953	366
842	1955	364
843	1957	361
844	1959	359
845	1963	357
846	1966	355
847	1968	352
848	1970	350
849	1973	348
850	1975	345
851	1976	343
852	1978	340
853	1979	338
854	1981	336
855	1983	333
856	1984	331
857	1986	328
858	1988	326
859	1989	323
860	1991	321
861	1992	319
862	1994	316
863	1996	314
864	1997	311
865	1998	309
866	2000	306
867	2002	304
868	2003	302
869	2005	299
870	2006	297
871	2008	294
872	2009	292
873	2011	289
874	2013	287
875	2014	285
876	2016	282
877	2017	280
878	2019	277
879	2020	275
880	2022	273
881	2023	270
882	2025	268
883	2026	265
884	2028	263
885	2029	261
886	2031	258
887	2032	256
888	2034	254
889	2036	251
890	2038	249
891	2040	247
892	2041	244
893	2043	242
894	2045	239
895	2046	237
896	2048	235
897	2049	232
898	2051	230
899	2053	228
900	2055	225
901	2056	223
902	2058	221
903	2059	218
904	2061	216
905	2063	214
906	2065	211
907	2066	209
908	2068	207
909	2069	204
910	2071	202
911	2072	200
912	2074	197
913	2075	195
914	2077	193
915	2079	190
916	2080	188
917	2082	186
918	2084	183
919	2085	181
920	2086	179
921	2088	176
922	2089	174
923	2091	172
924	2093	169
925	2094	167
926	2096	165
927	2097	162
928	2099	160
929	2100	158
930	2102	155
931	2104	153
932	2106	151
933	2107	148
934	2109	146
935	2110	144
936	2112	142
937	2113	139
938	2115	137
939	2116	135
940	2118	132
941	2119	130
942	2121	128
943	2122	125
944	2124	123
945	2125	121
946	2127	119
947	2129	116
948	2130	114
949	2132	112
950	2133	109
951	2135	107
952	2137	105
953	2138	103
954	2140	100
955	2141	98
956	2143	96
957	2145	94
958	2146	91
959	2148	89
960	2149	87
961	2151	84
962	2152	82
963	2154	80
964	2155	78
965	2157	75
966	2158	73
967	2160	71
968	2161	69
969	2163	66
970	2164	64
971	2166	62
972	2167	60
973	2169	57
974	2171	55
975	2172	53
976	2174	51
977	2175	48
978	2177	46
979	2178	44
980	2180	42
981	2182	39
982	2183	37
983	2185	35
984	2186	33
985	2188	31
986	2189	28
987	2191	26
988	2192	24
989	2194	22
990	2196	19
991	2197	17
992	2199	15
993	2200	13
994	2202	11
995	2204	8
996	2205	6
997	2207	4
998	2208	2
999	2210	0
